"attribute_index","attribute_id","attribute_label","schema_category","layer_1_id","layer_1","layer_2_id","layer_2","layer_3_id","layer_3"
"345","topic_running","Interest: Running","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"346","topic_photography","Interest: Photography","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"347","topic_film","Interest: Film","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"348","topic_tv_series","Interest: TV series","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"349","topic_anime","Interest: Anime","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"350","topic_comics","Interest: Comics","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"351","topic_music","Interest: Music","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"352","topic_live_concerts","Interest: Live concerts","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"353","topic_theater","Interest: Theater","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"354","topic_visual_art","Interest: Visual art","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"355","topic_literature","Interest: Literature","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"356","topic_poetry","Interest: Poetry","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"357","topic_history","Interest: History","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"358","topic_philosophy","Interest: Philosophy","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"359","topic_religion","Interest: Religion","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"360","topic_spirituality","Interest: Spirituality","Worldview: Beliefs","psychology","Psychology","worldview","Worldview","beliefs","Beliefs"
"361","topic_meditation","Interest: Meditation","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"362","topic_yoga","Interest: Yoga","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"363","topic_hiking","Interest: Hiking","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"364","topic_camping","Interest: Camping","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"365","topic_fishing","Interest: Fishing","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"366","topic_birdwatching","Interest: Birdwatching","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"367","topic_board_games","Interest: Board games","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
"368","topic_tabletop_rpgs","Interest: Tabletop RPGs","Interests: Topics","lifestyle_health","Lifestyle and Health","interests","Interests","broad_interest_areas","Broad Interest Areas"
