domain,users,mean_pairwise_cosine_distance,median_pairwise_cosine_distance,projection_spread_mean_radius,projection_spread_p90_radius
Movie / film,50,0.8081216061615745,0.8311947890127327,0.057422971770038765,0.0945004049816946
Beauty,50,0.8196834360380726,0.8670352176494095,0.10421134956138546,0.1963761084443221
Game,50,0.7681265636330584,0.8265722271053116,0.06104171344946434,0.11918458639036852
Finance,50,0.7348397371487655,0.757334773689397,0.07229825566572741,0.1284859331691239
Medical / healthcare,50,0.7343488733572886,0.7569716890621955,0.08090956898693752,0.16365192267087453
Ecommerce / retail,50,0.7543785161912021,0.786224297162172,0.05284370677172985,0.09852341440353726
