domain,users,mean_pairwise_cosine_distance,median_pairwise_cosine_distance,projection_spread_mean_radius,projection_spread_p90_radius
Movie / film,50,0.8301519549329548,0.8503746970065605,0.1561364507673811,0.2554590923943971
Beauty,50,0.832364670619135,0.8679163043077568,0.16253677297806748,0.4441702953079239
Game,50,0.8209164797355241,0.8587282188482193,0.18631027380143508,0.3663845231456475
Finance,50,0.8169343595322415,0.8391831027624511,0.15032785557145995,0.3024973944766538
Medical / healthcare,50,0.8154283823076417,0.8441569209874057,0.14700209461264677,0.27362623099641875
Ecommerce / retail,50,0.8173244935970955,0.8359122885093521,0.16551677239819462,0.25774088935718475
